#18000049,幹部のパケル,10014000,135,86,1,0.8,18000049,0,18000049,111,0,1,0,0,0,
#18000050,ぐんぐんアメコレクトくん,10014000,135,84,1,1,18000050,0,18000050,111,0,1,0,0,0,
#18000051,新ワールドの実,,,,,,,,,,,,,,,# 新ワールド用,
18000052,少女,50049000,2,3,0,1,18000052,0,11000749,111,128,1,0,0,0,#おばけ屋敷,
18000053,古い時計,50050000,4,1,0,1,18000053,0,18000053,111,0,1,0,0,0,#おばけ屋敷,
#18000054,セル判定本館①-1～6,,,,,,18000054,0,18000054,111,128,1,0,0,0,#おばけ屋敷,
#18000055,セル判定本館②-1,,,,,,18000055,0,18000055,111,0,1,0,0,0,#おばけ屋敷,
#18000056,セル判定本館③-1,,,,,,18000056,0,18000056,111,0,1,0,0,0,#おばけ屋敷,
#18000057,セル判定本館④-1,,,,,,18000057,0,18000057,111,0,1,0,0,0,#おばけ屋敷,
#18000058,セル判定本館⑤-1～2,,,,,,18000058,0,18000058,111,0,1,0,0,0,#おばけ屋敷,
#18000059,セル判定地下室①-1～5,,,,,,18000059,0,18000059,111,0,1,0,0,0,#おばけ屋敷,
#18000060,セル判定地下室②-1～5,,,,,,18000060,0,18000060,111,0,1,0,0,0,#おばけ屋敷,
#18000061,セル判定地下室③-1～5,,,,,,18000061,0,18000061,111,0,1,0,0,0,#おばけ屋敷,
#18000062,セル判定恐怖の部屋1-①-1～2,,,,,,18000062,0,18000062,111,0,1,0,0,0,#おばけ屋敷,
#18000063,セル判定恐怖の部屋1-②-1～2,,,,,,18000063,0,18000063,111,0,1,0,0,0,#おばけ屋敷,
#18000064,セル判定恐怖の部屋1-③-1～8,,,,,,18000064,0,18000064,111,0,1,0,0,0,#おばけ屋敷,
#18000065,セル判定恐怖の部屋2-①-1～12,,,,,,18000065,0,18000065,111,0,1,0,0,0,#おばけ屋敷,
18000066,ルルイエ,50051000,45,61,7,1,18000066,0,11000155,111,0,1,0,0,0,# クロニクル#2用,
18000067,ベリアル,50051000,44,62,7,1,18000067,0,11000156,111,0,1,0,0,0,# クロニクル#2用,
18000068,ベリアル,50052000,44,62,7,1,18000068,0,11000156,111,0,1,0,0,0,# クロニクル#2用,
18000069,エミル,50053000,1,1,7,1,18000069,0,11001220,111,0,1,0,0,0,# クロニクル#2用,
18000070,マーシャ,50053000,4,1,2,1,18000070,0,11000936,111,0,1,0,0,0,# クロニクル#2用,
18000071,ルルイエ,50053000,4,2,3,1,18000071,0,11000155,111,0,1,0,0,0,# クロニクル#2用,
18000072,ルルイエの無線機（イベント）,,,,,,,,,,,,,,,・使用するとルルイエと会話できる。,
18000073,エミル,50054000,1,3,5,1,18000073,0,11001220,111,0,1,0,0,0,# クロニクル#2用,
18000074,マーシャ,50054000,5,3,2,1,18000074,0,11000936,111,0,1,0,0,0,# クロニクル#2用,
18000075,ルルイエ,50054000,2,4,4,1,18000075,0,11000155,111,0,1,0,0,0,# クロニクル#2用,
18000076,ゴルドー,50054000,2,2,0,1,18000076,0,11000299,111,0,1,0,0,0,# クロニクル#2用,
18000077,イベント１,20080006,26,9,0,1,18000077,0,11000946,111,0,1,0,0,0,# イベント検証マップ用,
18000078,イベント２,20080006,29,8,0,1,18000078,0,11000947,111,0,1,0,0,0,# イベント検証マップ用,
18000079,イベント３,20080006,32,10,1,1,18000079,0,11000953,111,0,1,0,0,0,# イベント検証マップ用,
18000080,イベント４,20080006,35,10,1,1,18000080,0,11000951,111,0,1,0,0,0,# イベント検証マップ用,
18000081,イベント５,20080006,37,13,1,1,18000081,0,11000952,111,0,1,0,0,0,# イベント検証マップ用,
18000082,イベント６,20080006,40,15,1,1,18000082,0,11000955,111,0,1,0,0,0,# イベント検証マップ用,
18000083,イベント７,20080006,40,18,1,1,18000083,0,11000154,111,0,1,0,0,0,# イベント検証マップ用,
18000084,イベント８,20080006,42,21,2,1,18000084,0,11000153,111,0,1,0,0,0,# イベント検証マップ用,
18000085,イベント９,20080006,41,24,2,1,18000085,0,11000157,111,0,1,0,0,0,# イベント検証マップ用,
18000086,イベント１０,20080006,41,26,2,1,18000086,0,11000158,111,0,1,0,0,0,# イベント検証マップ用,
18000087,イベント１１,20080006,42,29,2,1,18000087,0,11000156,111,0,1,0,0,0,# イベント検証マップ用,
18000088,イベント１２,20080006,40,32,3,1,18000088,0,11000155,111,0,1,0,0,0,# イベント検証マップ用,
18000089,イベント１３,20080006,40,35,3,1,18000089,0,18000004,111,0,1,0,0,0,# イベント検証マップ用,
18000090,イベント１４,20080006,37,37,3,1,18000090,0,18000005,111,0,1,0,0,0,# イベント検証マップ用,
18000091,イベント１５,20080006,35,40,3,1,18000091,0,18000006,111,0,1,0,0,0,# イベント検証マップ用,
18000092,イベント１６,20080006,32,40,3,1,18000092,0,18000014,111,0,1,0,0,0,# イベント検証マップ用,
18000093,イベント１７,20080006,29,42,4,1,18000093,0,11000768,111,0,1,0,0,0,# イベント検証マップ用,
18000094,イベント１８,20080006,26,41,4,0.8,18000094,0,18000049,111,0,1,0,0,0,# イベント検証マップ用,
18000095,イベント１９,20080006,24,41,4,1.1,18000095,0,11000282,111,0,1,0,0,0,# イベント検証マップ用,
18000096,イベント２０,20080006,21,42,4,1,18000096,0,18000009,111,0,1,0,0,0,# イベント検証マップ用,
18000097,イベント２１,20080006,18,40,5,1,18000097,0,18000010,111,0,1,0,0,0,# イベント検証マップ用,
18000098,イベント２２,20080006,15,40,5,1,18000098,0,11000820,111,0,1,0,0,0,# イベント検証マップ用,
18000099,イベント２３,20080006,13,37,5,1,18000099,0,11000030,111,0,1,0,0,0,# イベント検証マップ用,
18000100,イベント２４,20080006,10,35,5,1,18000100,0,11000027,111,0,1,0,0,0,# イベント検証マップ用,
18000101,イベント２５,20080006,10,32,5,1,18000101,0,10022053,111,0,1,0,0,0,# イベント検証マップ用,
18000102,イベント２６,20080006,8,29,6,1,18000102,0,10022000,111,0,1,0,0,0,# イベント検証マップ用,
18000103,イベント２７,20080006,9,26,6,1,18000103,0,10030001,111,0,1,0,0,0,# イベント検証マップ用,
18000104,イベント２８,20080006,9,24,6,1,18000104,0,10013850,111,0,1,0,0,0,# イベント検証マップ用,
18000105,イベント２９,20080006,8,21,6,1,18000105,0,10019400,111,0,1,0,0,0,# イベント検証マップ用,
18000106,イベント３０,20080006,10,18,7,1,18000106,0,10019200,111,0,1,0,0,0,# イベント検証マップ用,
18000107,イベント３１,20080006,10,15,7,1,18000107,0,10011500,111,0,1,0,0,0,# イベント検証マップ用,
18000108,イベント３２,20080006,13,13,7,1,18000108,0,10019300,111,0,1,0,0,0,# イベント検証マップ用,
18000109,イベント３３,20080006,15,10,7,1,18000109,0,10021700,111,0,1,0,0,0,# イベント検証マップ用,
18000110,イベント３４,20080006,18,10,7,1,18000110,0,10013000,111,0,1,0,0,0,# イベント検証マップ用,
18000111,イベント３５,20080006,21,8,0,1,18000111,0,10027000,111,0,1,0,0,0,# イベント検証マップ用,
18000112,イベント３６,20080006,24,9,0,1,18000112,0,10021800,111,0,1,0,0,0,# イベント検証マップ用,
#18000113,セル判定１,20080006,21,21,,,18000113,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000114,セル判定２,20080006,25,21,,,18000114,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000115,セル判定３,20080006,29,21,,,18000115,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000116,セル判定４,20080006,21,25,,,18000116,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000117,セル判定５,20080006,25,25,,,18000117,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000118,セル判定６,20080006,29,25,,,18000118,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000119,セル判定７,20080006,21,29,,,18000119,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000120,セル判定８,20080006,25,29,,,18000120,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000121,セル判定９,20080006,29,29,,,18000121,0,,111,0,1,0,0,0,# イベント検証マップ用,
#18000122,ぷろでーさーダンプティー,10071001,46,195,4,0.8,18000122,0,26180000,131,0,1,0,0,0,# 2007真・ダンプティー前編用,
#18000123,でぃれくたーダンプティー,10071001,45,194,4,0.5,18000123,0,26180000,131,0,1,0,0,0,# 2007真・ダンプティー前編用,
#18000124,あしすたんとダンプティー,10071001,44,194,0,2,18000124,0,26180000,131,0,1,0,0,0,# 2007真・ダンプティー前編用,
#18000125,倉庫番ダンプティー,10071001,119,215,4,2.5,18000125,0,26180000,131,0,1,0,0,0,# 2007真・ダンプティー前編用,
#18000126,出張カフェ店員,10071001,218,92,2,1,18000126,0,11000989,301,0,1,0,0,0,# 2007真・ダンプティー前編用。北アクロニア平原の出張カフェ店員のコピー。,
#18000127,フシギなコックさん１,10071001,216,90,2,1,18000127,0,18000127,131,0,1,0,0,0,# 2007真・ダンプティー前編用。新装備お披露目用NPC,
#18000128,フシギなコックさん２,10071001,216,96,2,1,18000128,0,18000128,131,0,1,0,0,0,# 2007真・ダンプティー前編用。新装備お披露目用NPC,
#18000129,ベッド,50056000,5,1,0,1,18000129,0,18000129,111,0,1,0,0,0,# 2007真・ダンプティー前編用。後編の宝探しミニゲームで使用。今回は置いてあるだけで反応はしません。,
#18000130,ソファー,50056000,1,0,0,1,18000130,0,18000130,111,0,1,0,0,0,# 2007真・ダンプティー前編用。後編の宝探しミニゲームで使用。今回は置いてあるだけで反応はしません。,
#18000131,本棚,50056000,0,5,0,1,18000131,0,18000131,111,0,1,0,0,0,# 2007真・ダンプティー前編用。後編の宝探しミニゲームで使用。今回は置いてあるだけで反応はしません。,
#18000132,机,50056000,1,1,0,1,18000132,0,18000132,111,0,1,0,0,0,# 2007真・ダンプティー前編用。後編の宝探しミニゲームで使用。今回は置いてあるだけで反応はしません。,
#18000133,絵画,50056000,3,0,0,1,18000133,0,18000133,111,0,1,0,0,0,# 2007真・ダンプティー前編用。後編の宝探しミニゲームで使用。今回は置いてあるだけで反応はしません。,
18000134,杏の姿をしたナニカ,20013003,61,72,6,1,18000134,0,10260005,111,0,1,0,0,0,# 制作確認用(NPC名は都度変更),
18000135,でくの助28号,20013003,64,72,4,1.2,18000135,0,10670000,111,0,1,0,0,0,# 制作確認用(NPC名は都度変更),
#18000136,イベント確認君（テスト）,,,,,,18000136,0,,111,0,1,0,0,0,# 制作確認用(NPC名は都度変更),
#18000137,イベント確認君（テスト）,,,,,,18000137,0,,111,0,1,0,0,0,# 制作確認用(NPC名は都度変更),
#18000138,イベント確認君（テスト）,,,,,,18000138,0,,111,0,1,0,0,0,# 制作確認用(NPC名は都度変更),
#18000139,あくたーダンプティー,10071001,42,200,4,1.5,18000139,0,26180000,132,0,1,0,0,0,# 2007真・ダンプティー後編用,
18000140,クォーク博士,30157002,6,8,0,1,18000140,0,18000140,111,0,1,0,0,0,# 2007真・ダンプティー後編用,
18000141,エレキテル１号,30157002,2,11,6,0.7,18000141,0,10030001,111,0,1,0,0,0,# 2007真・ダンプティー後編用,
18000142,エレキテル２号,30157002,9,12,3,0.5,18000142,0,10030001,111,0,1,0,0,0,# 2007真・ダンプティー後編用,
18000143,トロン博士,30157002,4,3,0,1,18000143,0,18000141,111,0,1,0,0,0,# エレキテルラボ,
18000144,エレキテル３号,20142001,78,83,4,1,18000144,0,10030001,111,0,1,0,0,0,# エレキテルラボ上層,
18000145,エレキテル４号,20141001,77,10,0,0.3,18000145,0,10030001,111,0,1,0,0,0,# エレキテルラボ下層,
18000146,ラボの案内人,10024000,156,157,7,1,18000146,0,10030001,111,0,1,0,0,0,# エレキテルラボ,
18000147, ,10022000,111,101,0,1,18000147,1,11000150,111,0,1,1,0,0,# ブラッド第12話連動(ピクル・蝶の姿),
18000148, ,10022000,109,102,7,1,18000148,1,11000150,111,0,1,1,0,0,# ブラッド第12話連動(ビバッチ・蝶の姿),
#18000149,エレキテルラボ処理1,,,,,,18000149,0,,111,0,1,0,0,0,# エレキテルラボ・スクリプト処理用,
#18000150,エレキテルラボ処理2,,,,,,18000150,0,,111,0,1,0,0,0,# エレキテルラボ・スクリプト処理用,
#18000151,看板エレキテル,10023000,128,153,4,1.7,18000151,0,10030001,111,0,1,0,0,0,# エレキテルラボ追加,
18000152,エレキテル５号,20020002,129,111,4,1.3,18000152,0,10030001,111,0,1,0,0,0,# エレキテルラボ追加,
18000153,エレキテル６号,20020002,196,173,0,1,18000153,0,10030001,111,0,1,0,0,0,# エレキテルラボ追加,
18000154,ピクル,30022002,4,3,1,1,18000154,0,11001466,111,0,1,0,0,0,# 外伝コミック第13話連動。ピクル,
18000155,ビバッチ,30022002,2,3,7,1,18000155,0,11001465,111,0,1,0,0,0,# 外伝コミック第13話連動。ビバッチ,
#18000156,セルイベント#1,,,,,,,,,,,,,,,# 外伝コミック第13話連動。エレキテルラボ探索用マップの階段下に仕込む,
18000157,トロン博士,30157003,5,11,0,1,18000157,0,18000141,111,0,1,0,0,0,# 外伝コミック第13話連動用エレキテルラボマップにいるトロン博士,
18000158,オブスタン,30093000,6,6,2,1.2,18000158,0,11000296,111,0,1,0,0,0,# LOGiNイベント,
18000159,アニシィア,30093000,2,2,7,0.9,18000159,0,11000818,111,0,1,0,0,0,# LOGiNイベント,
18000160,フィグリオ,10024000,137,124,6,1,18000160,0,11000643,111,0,1,0,0,0,# LOGiNイベント,
#18000161,リッターさん,10056000,28,94,3,1,18000161,0,18000161,190,0,1,0,0,0,# LOGiNイベント,
#18000162,リタのハレルヤ,10071000,159,37,7,1,18000162,0,11001218,111,127,1,0,0,0,#2007年思い出星イベント,
#18000163,壺,10071000,73,168,3,1,18000163,0,30300000,111,0,1,0,0,0,#2007年思い出星イベント,
#18000164,貸本屋店主,10071000,117,222,1,1,18000164,0,11001462,111,0,1,0,0,0,#2007年思い出星イベント,
#18000165,さすらいの吟遊詩人ブラッド,10071000,162,60,6,1.05,18000165,0,11000024,111,0,1,0,0,0,#2007年思い出星イベント,
#18000166,　,10071000,164,58,7,1,18000166,0,11000150,111,1,1,1,0,0,#2007年思い出星イベント,
#18000167,　,10071000,163,62,6,1,18000167,0,11000150,111,1,1,1,0,0,#2007年思い出星イベント,
#18000168,シルフィ,10071000,245,170,2,1,18000168,0,10060600,111,0,1,0,0,0,#2007年思い出星イベント,
#18000169,ツクヨミ,10071000,146,155,7,1,18000169,0,13000211,111,0,1,0,0,0,#2007年思い出星イベント,
#18000170,クォーク博士,10071000,48,193,7,1,18000170,0,18000140,111,0,1,0,0,0,#2007年思い出星イベント,
#18000171,フシギ団団員のグリーディ,10071000,80,50,1,1,18000171,0,18000005,122,0,1,0,0,0,#2007年思い出星イベント,
#18000172,フシギ団団員のクリム,10071000,19,98,1,1,18000172,0,18000006,135,0,1,0,0,0,#2007年思い出星イベント,
#18000173,幹部のパケル,10071000,156,88,7,0.8,18000173,0,18000049,111,0,1,0,0,0,#2007年思い出星イベント,
#18000174,古い時計（ブル）,10071000,116,79,0,1,18000174,0,18000053,111,0,1,0,0,0,#2007年思い出星イベント,
#18000175,准幹部のミーシア,10071000,19,102,2,1,18000175,0,18000014,135,0,1,0,0,0,#2007年思い出星イベント,
#18000176,あしすたんとダンプティー,10071000,195,100,7,2,18000176,0,26180000,111,0,1,0,0,0,#2007年思い出星イベント,
#18000177,フシギ団団員のパルル,10071000,81,48,1,1,18000177,0,18000004,134,0,1,0,0,0,#2007年思い出星イベント,
18000178,オーベル,10057000,126,38,6,1,18000178,0,18000178,132,0,1,0,0,0,# ゆめみのたびびと第二話,
18000179,エミル,10018104,195,64,0,1,18000179,0,11000154,111,0,1,0,0,0,#チュートリアル改定2008/3/28,
18000180,飛空庭のひも,10018104,195,62,0,1,18000180,0,12001113,111,0,1,1,0,0,#チュートリアル改定2008/3/28,
18000181,マーシャ,30201003,9,10,1,1,18000181,0,11000936,111,0,1,0,0,0,#チュートリアル改定2008/3/28,
18000182,モモンガ,30202002,7,6,2,1,18000182,0,10780000,500,0,1,1,0,0,#チュートリアル改定2008/3/28,
#18000183,セル判定＃１,,,,,,,,,,,,,,,#オープニングイベントのシーン１、エミル世界用となります。,
#18000184,セル判定＃２,,,,,,,,,,,,,,,#オープニングイベントのシーン１、タイタニア世界用となります。,
#18000185,セル判定＃３,,,,,,,,,,,,,,,#オープニングイベントのシーン１、ドミニオン世界用となります。,
#18000186,セル判定＃４,,,,,,,,,,,,,,,#オープニングイベントのシーン２、アクロポリスシティ司令室用となります。,
#18000187,セル判定＃５,,,,,,,,,,,,,,,#オープニングイベントのシーン３、アクロポリスシティ通路用となります。,
#18000188,セル判定＃６,,,,,,,,,,,,,,,#オープニングイベントのシーン４、どこかの廃墟用となります。,
#18000189,セル判定＃７,,,,,,,,,,,,,,,#マップ「始まりの家」用となります。,
#18000190,セル判定＃８,,,,,,,,,,,,,,,#マップ「タイタニア転送室」用となります。,
#18000191,セル判定＃９,,,,,,,,,,,,,,,#マップ「ドミニオン転送室」用となります。,
#18000192,セル判定＃１０,,,,,,,,,,,,,,,#マップ「イストー岬」用となります。,
#18000193,マーシャホットライン,,,,,,,,,,,,,,,#アイテム「マーシャホットライン」使用時に呼び出されるものになります。,
#18000194,KhanKlauy,10057000,197,175,1,1,18000194,0,18000194,111,0,1,0,0,0,#[Thai] KhanKlauyイベント用,
#18000195,Chitlit,10017000,140,155,4,1.3,18000195,0,18000195,111,0,1,0,0,0,#[Thai] KhanKlauyイベント用,
#18000196,WarriorElephant,10065000,30,35,0,1.5,18000196,0,18000196,111,0,1,0,0,0,#[Thai] KhanKlauyイベント用,
#18000197,ShabaKeaw,10057000,197,174,1,1,18000197,0,18000197,111,0,1,0,0,0,#[Thai] ShabaKeawイベント用,
#18000198,Tamahood,10030000,143,71,0,1,18000198,0,11000080,111,0,1,0,0,0,#[Thai] Tamahoodイベント用 ※通常,
#18000199,Tamahood,20091001,159,139,3,1,18000199,0,11000080,111,0,1,0,0,0,#[Thai] Tamahoodイベント用 ※イベントMAP,
#18000200,宝箱,50056000,5,2,0,1,18000200,0,18000016,111,0,1,0,0,0,
#18000201,クリム,30091007,4,7,6,1,18000201,0,18000201,111,0,1,0,0,0,#ナニカガスムイエ2,
#18000202,ミーシア,30159000,9,7,8,1,18000202,0,18000202,111,0,1,0,0,0,#ナニカガスムイエ2,
#18000203,サヤ,50065000,6,3,1,1,18000203,0,18000203,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000204,クリム,50065000,8,5,3,1,18000204,0,18000204,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000205,ミーシア,50065000,3,5,5,1,18000205,0,18000205,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000206,グリーディ,10023000,170,108,1,1,18000206,0,18000206,122,0,1,0,0,0,#ナニカガスムイエ2,
#18000207,フシギ団団員,10025000,44,135,4,1,18000207,0,18000207,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000208,フシギ団団員,10031000,120,44,6,1,18000208,0,18000208,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000209,フシギ団団員,10014000,135,211,2,1,18000209,0,18000209,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000210,フシギ団団員,10022000,211,120,8,1,18000210,0,18000210,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000211,セルイベント用1,30091007,0,0,0,1,18000211,0,18000211,111,0,1,0,0,0,#ナニカガスムイエ2,
#18000212,セルイベント用2,30091007,0,0,0,1,18000212,0,18000212,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000213,セルイベント用3,20129001,0,0,0,1,18000213,0,18000213,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000214,セルイベント用4,20129001,0,0,0,1,18000214,0,18000214,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000215,セルイベント用5,20129001,0,0,0,1,18000215,0,18000215,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000216,セルイベント用6,30152002,0,0,0,1,18000216,0,18000216,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000217,セルイベント用7,30158000,0,0,0,1,18000217,0,18000217,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000218,セルイベント用8,20032002,0,0,0,1,18000218,0,18000218,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000219,セルイベント用9,20032002,0,0,0,1,18000219,0,18000219,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000220,セルイベント用10,30159000,0,0,0,1,18000220,0,18000220,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000221,セルイベント用11,30159000,0,0,0,1,18000221,0,18000221,131,0,1,0,0,0,#ナニカガスムイエ2,
#18000222,TaBoonchu,10028000,143,82,0,1,18000222,0,11000080,111,0,1,0,0,0,#[Thai] GoldenBoosterイベント用 ※通常,
#18000223,TaBoonchu,20090001,225,2,0,1,18000223,0,11000080,111,0,1,0,0,0,#[Thai] GoldenBoosterイベント用 ※イベントMAP,
#18000224,レジスタンスリーダー,10071000,116,79,0,1,18000224,0,11001644,111,0,1,0,0,0,#2008思い出星イベント,
#18000225,ブラフスキー,10071000,233,143,6,1,18000225,0,11001646,209,0,1,0,0,0,#2008思い出星イベント,
#18000226,マール,10071000,36,70,4,1,18000226,0,11000641,111,127,1,0,0,0,#2008思い出星イベント,
#18000227,ダンボール,10071000,59,84,6,1,18000227,0,12002101,111,0,1,0,0,0,#2008思い出星イベント,
#18000228,　,10071000,59,83,6,1,18000228,1,10770000,111,0,1,0,0,0,#2008思い出星イベント,
#18000229,謎の少女,10071000,175,57,0,1,18000229,0,13000237,111,0,1,0,0,0,#2008思い出星イベント,
#18000230,ヘンピコ,10071000,54,210,5,1,18000230,0,13000000,190,0,1,0,0,0,#2008思い出星イベント,
